#Column	separation	(F9.2)	Distance from master source to center of cone search	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source and/or background regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[]
#Column	streak_src_flag	(A5)	Source is located on an ACIS readout streak in all observations; source properties may be affected	(master_source.streak_src_flag)	[""]	[]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	sat_src_flag	streak_src_flag	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w
   132.27	 2CXO J095616.6+694006	 09 56 16.63	+69 40 06.97	   0.45	     0.37	    114.6	     3.15	                TRUE	 TRUE	FALSE	FALSE	1.118e-15	8.388e-16	1.398e-15	         	         	         
   138.37	 2CXO J095539.3+693846	 09 55 39.33	+69 38 46.59	   1.80	     1.18	     25.3	     3.03	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.659e-16	         	         	         
   140.52	 2CXO J095539.1+694249	 09 55 39.11	+69 42 49.15	   0.58	     0.58	      0.0	     7.30	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.800e-16	         	         	         
   141.35	 2CXO J095608.6+694240	 09 56 08.67	+69 42 40.21	   0.33	     0.32	    128.7	     4.97	                TRUE	 TRUE	FALSE	FALSE	2.285e-15	1.981e-15	2.589e-15	         	         	         
   143.75	 2CXO J095612.6+694225	 09 56 12.62	+69 42 25.01	   0.37	     0.33	    145.6	     5.09	                TRUE	 TRUE	FALSE	FALSE	3.388e-15	2.851e-15	3.887e-15	         	         	         
   144.57	 2CXO J095534.8+693854	 09 55 34.88	+69 38 54.97	   0.32	     0.31	     61.0	     5.29	                TRUE	 TRUE	FALSE	FALSE	1.180e-15	9.309e-16	1.413e-15	         	         	         
   147.62	 2CXO J095529.2+694211	 09 55 29.24	+69 42 11.84	   0.31	     0.30	     71.1	     8.29	                TRUE	 TRUE	FALSE	FALSE	5.322e-15	4.829e-15	5.782e-15	         	         	         
   147.71	 2CXO J095620.5+694105	 09 56 20.57	+69 41 05.37	   0.63	     0.52	     97.3	     2.75	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	9.644e-16	         	         	         
   149.98	 2CXO J095601.7+694308	 09 56 01.74	+69 43 08.87	   0.30	     0.29	    128.3	    11.46	                TRUE	 TRUE	FALSE	FALSE	1.211e-14	1.149e-14	1.268e-14	         	         	         
   150.60	 2CXO J095611.0+694242	 09 56 11.07	+69 42 42.11	   0.36	     0.35	     99.6	     4.22	                TRUE	 TRUE	FALSE	FALSE	4.081e-15	3.478e-15	4.683e-15	         	         	         
   150.86	 2CXO J095618.9+693947	 09 56 19.00	+69 39 47.00	   0.49	     0.40	    178.4	     2.80	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.797e-16	         	         	         
   153.95	 2CXO J095619.7+694146	 09 56 19.72	+69 41 46.18	   0.29	     0.29	    128.6	    25.80	                TRUE	 TRUE	FALSE	FALSE	5.436e-14	5.289e-14	5.582e-14	         	         	         
   154.31	 2CXO J095526.4+694201	 09 55 26.45	+69 42 01.17	   0.44	     0.38	     71.7	     2.97	                TRUE	 TRUE	FALSE	FALSE	1.015e-15	6.600e-16	1.354e-15	         	         	         
   154.64	 2CXO J095530.9+694233	 09 55 30.94	+69 42 33.71	   0.30	     0.30	     67.6	     9.82	                TRUE	 TRUE	FALSE	FALSE	3.877e-15	3.190e-15	4.515e-15	         	         	         
   155.90	 2CXO J095527.1+693923	 09 55 27.15	+69 39 23.59	   0.29	     0.29	     38.3	    27.98	                TRUE	 TRUE	FALSE	FALSE	6.573e-14	6.389e-14	6.746e-14	         	         	         
   160.87	 2CXO J095530.1+694238	 09 55 30.16	+69 42 38.48	   0.32	     0.30	     78.9	     6.07	                TRUE	 TRUE	FALSE	FALSE	4.288e-15	3.866e-15	4.710e-15	         	         	         
   164.91	 2CXO J095622.7+694134	 09 56 22.75	+69 41 34.49	   0.31	     0.31	    125.5	     7.91	                TRUE	 TRUE	FALSE	FALSE	7.272e-15	6.615e-15	7.930e-15	         	         	         
   165.00	 2CXO J095536.4+693824	 09 55 36.45	+69 38 24.51	   0.37	     0.32	     86.3	     6.08	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.214e-16	         	         	         
   167.92	 2CXO J095620.6+694208	 09 56 20.65	+69 42 08.23	   0.84	     0.48	    178.6	     2.26	                    	 TRUE	FALSE	FALSE	6.244e-16	1.077e-16	1.120e-15	         	         	         
   168.91	 2CXO J095614.7+694249	 09 56 14.74	+69 42 49.59	   0.31	     0.30	    134.7	     7.78	                TRUE	 TRUE	FALSE	FALSE	5.311e-15	4.896e-15	5.726e-15	         	         	         
   170.43	 2CXO J095521.6+693948	 09 55 21.70	+69 39 48.61	   1.00	     0.81	     36.9	     3.63	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.142e-16	         	         	         
   171.07	 2CXO J095534.5+693823	 09 55 34.53	+69 38 23.57	   0.31	     0.30	     52.3	     8.33	                TRUE	 TRUE	FALSE	FALSE	5.768e-15	5.306e-15	6.231e-15	         	         	         
   171.91	 2CXO J095536.5+693816	 09 55 36.55	+69 38 16.27	   1.29	     0.71	     43.0	     2.11	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.665e-16	         	         	         
   179.14	 2CXO J095621.2+694225	 09 56 21.22	+69 42 25.10	   0.31	     0.30	    146.8	    10.00	                TRUE	 TRUE	FALSE	FALSE	9.093e-15	8.544e-15	9.609e-15	         	         	         
   184.32	 2CXO J095621.3+693901	 09 56 21.37	+69 39 01.02	   0.31	     0.30	    169.9	     6.73	                TRUE	 TRUE	FALSE	FALSE	8.827e-15	7.948e-15	9.706e-15	         	         	         
   185.28	 2CXO J095531.8+694318	 09 55 31.82	+69 43 18.02	   0.38	     0.35	     81.4	     4.61	                TRUE	 TRUE	FALSE	FALSE	3.430e-15	2.822e-15	3.995e-15	         	         	         
   185.89	 2CXO J095603.0+694344	 09 56 03.01	+69 43 44.48	   0.88	     0.50	    126.3	     2.56	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.130e-16	         	         	         
   191.24	 2CXO J095611.6+693803	 09 56 11.62	+69 38 03.96	   0.29	     0.29	    162.0	    13.72	                TRUE	 TRUE	FALSE	FALSE	1.835e-14	1.743e-14	1.926e-14	         	         	         
   198.91	 2CXO J095532.3+693757	 09 55 32.37	+69 37 57.74	   1.37	     1.37	      0.0	     1.86	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.389e-16	         	         	         
   201.18	 2CXO J095518.6+694224	 09 55 18.69	+69 42 25.00	   0.35	     0.33	     74.0	     5.35	                TRUE	 TRUE	FALSE	FALSE	3.731e-15	2.964e-15	4.446e-15	         	         	         
   201.45	 2CXO J095631.1+694048	 09 56 31.10	+69 40 48.76	   0.36	     0.34	    111.9	     4.38	                TRUE	 TRUE	FALSE	FALSE	1.968e-15	1.628e-15	2.308e-15	         	         	         
   206.22	 2CXO J095537.9+694358	 09 55 37.97	+69 43 58.93	   0.59	     0.59	      0.0	     5.77	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.439e-16	         	         	         
   207.52	 2CXO J095553.8+693719	 09 55 53.83	+69 37 19.54	   0.47	     0.40	     37.7	     3.75	                TRUE	 TRUE	FALSE	FALSE	2.278e-15	1.817e-15	2.712e-15	         	         	         
   210.47	 2CXO J095530.8+693749	 09 55 30.87	+69 37 49.02	   0.90	     0.60	     74.6	     2.63	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	3.978e-16	         	         	         
   211.53	 2CXO J095632.3+694127	 09 56 32.31	+69 41 27.15	   0.45	     0.39	    123.0	     4.18	                TRUE	 TRUE	FALSE	FALSE	3.394e-15	2.810e-15	3.978e-15	         	         	         
   213.01	 2CXO J095624.7+694257	 09 56 24.76	+69 42 57.54	   0.32	     0.31	    119.0	     8.96	                TRUE	 TRUE	FALSE	FALSE	2.475e-15	2.058e-15	2.892e-15	         	         	         
   214.06	 2CXO J095601.9+694415	 09 56 01.92	+69 44 15.22	   0.41	     0.36	    130.2	     4.43	                TRUE	 TRUE	FALSE	FALSE	4.281e-15	3.645e-15	4.875e-15	         	         	         
   215.55	 2CXO J095528.6+694343	 09 55 28.61	+69 43 43.28	   0.31	     0.30	     90.5	    10.51	                TRUE	 TRUE	FALSE	FALSE	7.713e-15	6.981e-15	8.399e-15	         	         	         
   217.04	 2CXO J095601.3+694418	 09 56 01.35	+69 44 18.95	   0.48	     0.35	    121.1	     3.88	                TRUE	 TRUE	FALSE	FALSE	2.206e-15	1.770e-15	2.641e-15	         	         	         
   221.76	 2CXO J095631.0+694220	 09 56 31.07	+69 42 20.31	   0.32	     0.31	    137.6	    12.70	                TRUE	 TRUE	FALSE	FALSE	1.580e-14	1.457e-14	1.703e-14	         	         	         
   223.13	 2CXO J095510.7+693955	 09 55 10.75	+69 39 55.76	   0.34	     0.31	     57.1	    10.89	                TRUE	 TRUE	FALSE	FALSE	1.263e-14	1.163e-14	1.363e-14	         	         	         
   229.55	 2CXO J095521.6+693803	 09 55 21.61	+69 38 03.01	   0.48	     0.37	     65.3	     4.11	                TRUE	 TRUE	FALSE	FALSE	2.159e-15	1.717e-15	2.602e-15	         	         	         
   235.57	 2CXO J095545.3+693654	 09 55 45.35	+69 36 54.28	   0.30	     0.29	     45.1	    11.07	                TRUE	 TRUE	FALSE	FALSE	1.239e-14	1.161e-14	1.312e-14	         	         	         
   237.89	 2CXO J095543.6+693653	 09 55 43.60	+69 36 53.54	   0.31	     0.30	     46.2	    10.52	                TRUE	 TRUE	FALSE	FALSE	1.031e-14	9.531e-15	1.104e-14	         	         	         
   240.25	 2CXO J095637.5+694137	 09 56 37.53	+69 41 37.66	   0.31	     0.30	    119.9	    12.11	                TRUE	 TRUE	FALSE	FALSE	1.589e-14	1.509e-14	1.669e-14	         	         	         
   252.04	 2CXO J095504.2+694110	 09 55 04.26	+69 41 10.85	   0.83	     0.52	     73.6	     2.78	                TRUE	 TRUE	FALSE	FALSE	2.443e-15	1.675e-15	3.176e-15	         	         	         
   256.79	 2CXO J095513.7+694326	 09 55 13.79	+69 43 26.64	   1.01	     0.55	     84.0	     2.70	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.933e-16	         	         	         
   260.33	 2CXO J095619.1+693706	 09 56 19.12	+69 37 06.97	   0.43	     0.35	    167.5	     4.11	                TRUE	 TRUE	FALSE	FALSE	3.162e-15	2.638e-15	3.651e-15	         	         	         
   266.27	 2CXO J095551.2+694513	 09 55 51.23	+69 45 13.13	   0.81	     0.42	    119.1	     3.29	                TRUE	 TRUE	FALSE	FALSE	1.365e-15	9.516e-16	1.758e-15	         	         	         
   268.29	 2CXO J095643.7+694024	 09 56 43.74	+69 40 24.18	   0.54	     0.48	    145.9	     5.20	                TRUE	 TRUE	FALSE	FALSE	2.158e-15	1.412e-15	2.903e-15	         	         	         
   270.58	 2CXO J095509.7+693812	 09 55 09.76	+69 38 12.97	   0.82	     0.65	     95.2	     2.91	                TRUE	 TRUE	FALSE	FALSE	1.619e-15	9.250e-16	2.313e-15	         	         	         
   272.04	 2CXO J095519.9+693713	 09 55 19.98	+69 37 13.97	   0.35	     0.33	     74.9	     7.15	                TRUE	 TRUE	FALSE	FALSE	1.084e-14	9.461e-15	1.222e-14	         	         	         
   275.45	 2CXO J095644.6+694131	 09 56 44.63	+69 41 31.33	   0.53	     0.40	    102.6	     4.13	                TRUE	 TRUE	FALSE	FALSE	1.978e-15	1.498e-15	2.459e-15	         	         	         
   277.92	 2CXO J095549.8+694524	 09 55 49.88	+69 45 24.53	   0.32	     0.30	    116.1	    13.56	                TRUE	 TRUE	FALSE	FALSE	1.532e-14	1.408e-14	1.649e-14	         	         	         
   279.55	 2CXO J095514.8+693727	 09 55 14.81	+69 37 27.80	   2.60	     1.05	     45.6	     2.91	                    	 TRUE	FALSE	FALSE	9.902e-16	2.049e-16	1.776e-15	         	         	         
   281.59	 2CXO J095526.2+693640	 09 55 26.23	+69 36 40.76	   0.40	     0.36	     38.0	     6.00	                TRUE	 TRUE	FALSE	FALSE	4.970e-15	4.311e-15	5.629e-15	         	         	         
   284.19	 2CXO J095633.8+694352	 09 56 33.82	+69 43 52.40	   0.34	     0.33	    120.0	     4.86	                TRUE	 TRUE	FALSE	FALSE	4.418e-15	3.372e-15	5.464e-15	         	         	         
   286.11	 2CXO J095506.2+693812	 09 55 06.27	+69 38 12.25	   1.29	     0.76	     54.9	     2.97	                TRUE	 TRUE	FALSE	FALSE	5.418e-15	3.456e-15	7.380e-15	         	         	         
   287.67	 2CXO J095520.8+694443	 09 55 20.83	+69 44 43.04	   0.30	     0.29	     92.5	    23.49	                TRUE	 TRUE	FALSE	FALSE	5.243e-14	5.007e-14	5.466e-14	         	         	         
   291.89	 2CXO J095516.3+694430	 09 55 16.31	+69 44 30.33	   0.85	     0.45	     94.3	     2.74	                TRUE	 TRUE	FALSE	FALSE	1.484e-15	5.358e-16	2.431e-15	         	         	         
   295.10	 2CXO J095544.1+694538	 09 55 44.11	+69 45 38.84	   0.85	     0.47	    105.4	     3.18	                TRUE	 TRUE	FALSE	FALSE	3.317e-15	2.521e-15	4.113e-15	         	         	         
   300.29	 2CXO J095508.4+693733	 09 55 08.42	+69 37 33.29	   3.40	     2.07	     25.2	     6.26	                    	 TRUE	FALSE	FALSE	5.821e-15	3.725e-15	7.800e-15	         	         	         
   300.82	 2CXO J095503.7+694329	 09 55 03.75	+69 43 29.23	   0.31	     0.30	     37.0	    20.41	                TRUE	 TRUE	FALSE	FALSE	4.732e-14	4.521e-14	4.929e-14	         	         	         
   304.28	 2CXO J095454.8+694137	 09 54 54.81	+69 41 37.70	   1.06	     0.67	     58.3	     4.06	                TRUE	 TRUE	FALSE	FALSE	4.092e-15	3.036e-15	5.148e-15	         	         	         
   307.90	 2CXO J095529.9+694531	 09 55 29.95	+69 45 31.78	   0.67	     0.49	     91.1	     4.00	                TRUE	 TRUE	FALSE	FALSE	3.963e-15	3.212e-15	4.672e-15	         	         	         
   316.26	 2CXO J095500.0+694327	 09 55 00.07	+69 43 27.55	   2.71	     1.95	     22.8	     2.15	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.289e-16	         	         	         
   321.54	 2CXO J095527.9+694542	 09 55 27.96	+69 45 42.24	   3.89	     2.39	     95.9	     3.18	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.009e-15	         	         	         
   335.11	 2CXO J095515.0+693614	 09 55 15.01	+69 36 14.59	   1.88	     1.20	     48.5	     3.00	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.696e-15	         	         	         
   340.49	 2CXO J095505.1+694442	 09 55 05.16	+69 44 42.49	   0.30	     0.30	     79.0	    20.84	                TRUE	 TRUE	FALSE	FALSE	3.527e-14	3.360e-14	3.684e-14	         	         	         
   341.75	 2CXO J095653.0+694258	 09 56 53.01	+69 42 58.73	   1.12	     0.77	     29.4	     5.88	                TRUE	 TRUE	FALSE	FALSE	2.211e-14	1.866e-14	2.536e-14	         	         	         
   342.01	 2CXO J095451.5+694255	 09 54 51.53	+69 42 55.40	   0.65	     0.53	     60.8	     3.88	                TRUE	 TRUE	FALSE	FALSE	4.075e-15	3.181e-15	4.970e-15	         	         	         
   346.00	 2CXO J095658.8+694046	 09 56 58.85	+69 40 46.31	   1.61	     0.68	    131.1	     2.29	                    	 TRUE	FALSE	FALSE	4.390e-16	9.756e-17	7.642e-16	         	         	         
   350.85	 2CXO J095655.6+694249	 09 56 55.62	+69 42 49.15	   0.93	     0.74	     24.6	     7.93	                TRUE	 TRUE	FALSE	FALSE	2.416e-14	2.049e-14	2.784e-14	         	         	         
   352.77	 2CXO J095656.5+693854	 09 56 56.58	+69 38 54.57	   1.32	     0.85	    132.2	     2.78	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	1.395e-15	         	         	         
   354.72	 2CXO J095619.8+694611	 09 56 19.83	+69 46 11.82	   1.02	     0.69	    127.3	     4.43	                TRUE	 TRUE	FALSE	FALSE	2.455e-15	1.682e-15	3.227e-15	         	         	         
   355.55	 2CXO J095543.0+693454	 09 55 43.08	+69 34 54.74	   0.49	     0.41	     23.6	    12.35	                TRUE	 TRUE	FALSE	FALSE	2.267e-14	2.126e-14	2.408e-14	         	         	         
   357.07	 2CXO J095517.7+694555	 09 55 17.71	+69 45 55.02	   0.54	     0.41	     91.7	     4.40	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
   357.09	 2CXO J095459.4+694434	 09 54 59.47	+69 44 34.20	   1.87	     1.01	     66.3	     3.13	                    	 TRUE	FALSE	FALSE	6.286e-15	4.373e-15	8.108e-15	         	         	         
   358.21	 2CXO J095611.7+693503	 09 56 11.78	+69 35 03.26	   0.38	     0.32	      4.5	    10.24	                TRUE	 TRUE	FALSE	FALSE	1.328e-14	1.160e-14	1.497e-14	         	         	         
   363.87	 2CXO J095658.6+693852	 09 56 58.69	+69 38 52.54	   0.31	     0.30	    153.4	    25.07	                TRUE	 TRUE	FALSE	FALSE	7.410e-14	7.081e-14	7.738e-14	         	         	         
   366.74	 2CXO J095529.9+694634	 09 55 29.95	+69 46 34.57	   1.65	     0.82	    100.0	     3.24	                TRUE	 TRUE	FALSE	FALSE	4.148e-15	2.699e-15	5.530e-15	         	         	         
   372.62	 2CXO J095509.3+693549	 09 55 09.33	+69 35 49.85	   0.78	     0.60	     43.3	     3.49	                TRUE	 TRUE	FALSE	FALSE	1.590e-14	1.050e-14	2.130e-14	         	         	         
   375.44	 2CXO J095610.3+693443	 09 56 10.38	+69 34 43.38	   2.01	     0.63	      2.3	     3.09	                TRUE	 TRUE	FALSE	FALSE	4.423e-15	2.798e-15	5.958e-15	         	         	         
   375.46	 2CXO J095442.8+694225	 09 54 42.82	+69 42 25.23	   0.60	     0.56	     44.2	     6.69	                TRUE	 TRUE	FALSE	FALSE	6.539e-15	5.155e-15	7.924e-15	         	         	         
   377.10	 2CXO J095610.4+693441	 09 56 10.43	+69 34 41.73	   1.79	     1.38	     39.6	     3.09	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.925e-15	         	         	         
   400.47	 2CXO J095635.1+693514	 09 56 35.16	+69 35 14.34	   0.90	     0.63	      2.7	     3.33	                TRUE	 TRUE	FALSE	FALSE	1.709e-15	1.214e-15	2.180e-15	         	         	         
   403.75	 2CXO J095447.6+694429	 09 54 47.68	+69 44 29.59	   0.57	     0.37	     79.4	    10.24	                TRUE	 TRUE	FALSE	FALSE	1.256e-14	1.136e-14	1.368e-14	         	         	         
   408.56	 2CXO J095441.0+694337	 09 54 41.05	+69 43 37.22	   0.65	     0.53	    116.7	     5.71	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	9.343e-16	         	         	         
   409.21	 2CXO J095640.4+693523	 09 56 40.43	+69 35 23.41	   1.10	     0.69	    169.2	     2.97	                TRUE	 TRUE	FALSE	FALSE	1.013e-15	5.647e-16	1.460e-15	         	         	         
   410.05	 2CXO J095512.1+694639	 09 55 12.12	+69 46 39.42	   0.63	     0.44	     90.1	     7.47	                TRUE	 TRUE	FALSE	FALSE	5.118e-15	2.801e-15	7.339e-15	         	         	         
   411.93	 2CXO J095707.8+693844	 09 57 07.85	+69 38 44.06	   0.63	     0.40	    167.1	     9.08	                TRUE	 TRUE	FALSE	FALSE	1.687e-14	1.494e-14	1.869e-14	         	         	         
   429.97	 2CXO J095714.9+694044	 09 57 14.97	+69 40 44.54	   1.40	     1.40	      0.0	     3.24	                    	 TRUE	FALSE	FALSE	2.705e-15	1.768e-15	3.589e-15	         	         	         
   433.60	 2CXO J095454.5+694558	 09 54 54.51	+69 45 58.94	   0.46	     0.39	     81.4	    11.57	                TRUE	 TRUE	FALSE	FALSE	1.322e-14	1.208e-14	1.428e-14	         	         	         
   440.93	 2CXO J095711.3+693808	 09 57 11.33	+69 38 08.29	   1.05	     0.78	    140.9	     4.35	                TRUE	 TRUE	FALSE	FALSE	2.186e-15	1.492e-15	2.880e-15	         	         	         
   443.94	 2CXO J095444.3+694514	 09 54 44.34	+69 45 14.76	   2.47	     1.66	     75.1	     2.56	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	8.929e-16	         	         	         
   444.10	 2CXO J095530.2+693338	 09 55 30.25	+69 33 38.21	   3.58	     3.58	      0.0	     2.56	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	9.958e-16	         	         	         
   446.74	 2CXO J095626.7+693357	 09 56 26.80	+69 33 57.83	   3.25	     1.52	      4.7	     2.63	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	8.112e-16	         	         	         
   453.79	 2CXO J095514.5+694735	 09 55 14.50	+69 47 35.71	   0.31	     0.30	     91.0	    39.78	                TRUE	 TRUE	FALSE	FALSE	1.502e-13	1.461e-13	1.542e-13	         	         	         
   460.93	 2CXO J095605.1+693310	 09 56 05.12	+69 33 10.80	   2.83	     1.44	     15.4	     2.50	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	4.273e-15	         	         	         
   468.86	 2CXO J095706.0+693617	 09 57 06.01	+69 36 17.86	   2.07	     1.00	    146.4	     3.53	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	2.423e-15	         	         	         
   484.53	 2CXO J095603.0+693245	 09 56 03.01	+69 32 45.57	   0.66	     0.51	      9.9	     8.87	                TRUE	 TRUE	FALSE	FALSE	6.947e-15	4.809e-15	8.978e-15	         	         	         
   493.77	 2CXO J095721.1+693754	 09 57 21.18	+69 37 54.91	   0.51	     0.39	    126.6	    13.85	                TRUE	 TRUE	FALSE	FALSE	2.315e-14	2.133e-14	2.487e-14	         	         	         
   500.52	 2CXO J095457.1+693357	 09 54 57.17	+69 33 58.00	   1.08	     0.79	     10.9	     5.49	                TRUE	 TRUE	FALSE	FALSE	3.385e-14	2.783e-14	3.987e-14	         	         	         
   502.87	 2CXO J095429.5+694506	 09 54 29.55	+69 45 06.05	   1.79	     1.13	     98.6	     4.27	                TRUE	 TRUE	FALSE	FALSE	1.061e-14	8.256e-15	1.297e-14	         	         	         
   506.82	 2CXO J095726.9+693847	 09 57 26.90	+69 38 47.28	   0.87	     0.87	      0.0	     5.29	                TRUE	 TRUE	FALSE	FALSE	5.158e-15	3.920e-15	6.396e-15	         	         	         
   509.30	 2CXO J095416.1+694216	 09 54 16.14	+69 42 16.88	   1.84	     1.10	    127.5	     6.01	                TRUE	 TRUE	FALSE	FALSE	1.216e-14	7.978e-15	1.615e-14	         	         	         
   514.90	 2CXO J095501.0+694807	 09 55 01.07	+69 48 07.33	   1.23	     0.68	     86.7	     5.35	                TRUE	 TRUE	FALSE	FALSE	5.579e-15	4.308e-15	6.780e-15	         	         	         
   519.00	 2CXO J095730.4+693915	 09 57 30.43	+69 39 15.01	   1.16	     1.16	      0.0	     4.43	                TRUE	 TRUE	FALSE	FALSE	3.801e-15	2.687e-15	4.850e-15	         	         	         
   524.95	 2CXO J095700.2+693419	 09 57 00.20	+69 34 19.24	   0.41	     0.36	      6.6	    36.39	                TRUE	 TRUE	FALSE	FALSE	6.798e-15	5.875e-15	7.721e-15	         	         	         
   525.78	 2CXO J095617.0+693217	 09 56 17.09	+69 32 17.20	   0.93	     0.57	      9.9	     7.49	                TRUE	 TRUE	FALSE	FALSE	7.713e-15	6.393e-15	8.956e-15	         	         	         
   529.77	 2CXO J095454.6+694803	 09 54 54.65	+69 48 03.50	   3.38	     2.20	     96.7	     2.68	                    	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	9.622e-16	         	         	         
   538.18	 2CXO J095409.1+694028	 09 54 09.18	+69 40 28.76	   0.97	     0.86	     93.1	     7.00	                TRUE	 TRUE	FALSE	FALSE	1.953e-14	1.667e-14	2.222e-14	         	         	         
   542.05	 2CXO J095455.5+693313	 09 54 55.55	+69 33 13.59	   3.58	     3.58	      0.0	     2.00	                TRUE	 TRUE	FALSE	FALSE	0.000e+00	0.000e+00	5.000e-15	         	         	         
   543.64	 2CXO J095631.2+693222	 09 56 31.26	+69 32 22.58	   2.98	     1.60	     15.6	     3.87	                TRUE	 TRUE	FALSE	FALSE	3.867e-15	2.446e-15	5.208e-15	         	         	         
   549.45	 2CXO J095610.8+693145	 09 56 10.85	+69 31 45.98	   0.81	     0.72	     18.8	     8.44	                TRUE	 TRUE	FALSE	FALSE	9.539e-15	8.086e-15	1.099e-14	         	         	         
